Nivel;ID;Denominacion
4;L504-HF204-104000;ELECTRICA TAMBOR 1 TORRETA CARCASA
5;L504-HF204-104100;CONTROL ELECTRICA TAMBOR 1 TORRETA CARCA
4;L504-HF204-105000;ELECTRICA TAMBOR 2 TORRETA CARCASA
5;L504-HF204-105100;CONTROL ELECTRICA TAMBOR 2 TORRETA CARCA
3;L504-HF204-110000;COJIN
4;L504-HF204-111000;LETOFF COJIN
5;L504-HF204-111100;MOTRIZ DERECHO LINER LETOFF COJIN
5;L504-HF204-111200;MOTRIZ DERECHO MATERIAL LETOFF COJIN
5;L504-HF204-111300;CARRO LETOFF COJIN
5;L504-HF204-111400;CONTROL LETOFF COJIN
4;L504-HF204-112000;FEED CONVEYOR COJIN
5;L504-HF204-112100;MOTRIZ FEED CONVEYOR COJIN
5;L504-HF204-112200;FEED CONVEYOR COJIN
4;L504-HF204-113000;SISTEMA DE CORTE COJIN
5;L504-HF204-113100;MOVIMIENTO CORTE COJIN
5;L504-HF204-113200;INSTRUMENTACION CORTE COJIN
5;L504-HF204-113300;CORTE COJIN
4;L504-HF204-114000;APLICADOR CONVEYOR COJIN
5;L504-HF204-114100;MOTRIZ APLICADOR CONVEYOR COJIN
5;L504-HF204-114200;APLICADOR CONVEYOR COJIN
5;L504-HF204-114300;SISTEMA ALTURA DE MESA APLI. CONV. COJIN
3;L504-HF204-120000;BEAD AND PUSH
4;L504-HF204-121000;MOVIMIENTO TRANSVERSAL BEAD AND PUSH
5;L504-HF204-121100;MOVIMIENTO TRANSVERSAL BEAD AND PUSH
4;L504-HF204-122000;CONJUNTO ANILLOS BEAD AND PUSH
5;L504-HF204-122100;SEGMENTOS BEAD AND PUSH
5;L504-HF204-122200;BAP
5;L504-HF204-122300;SISTEMA VALVULAS BEAD AND PUSH
4;L504-HF204-123000;SISTEMA STITCHADO BEAD AND PUSH
5;L504-HF204-123100;MOVIMIENTO AXIAL STITCHER APEX BAP
5;L504-HF204-123200;MOVIMIENTO RADIAL STITCHER APEX BAP
5;L504-HF204-123300;CROSS STITCHER BEAD AND PUSH
4;L504-HF204-124000;LIVE CENTER BEAD AND PUSH
5;L504-HF204-124100;LIVE CENTER BEAD AND PUSH
3;L504-HF204-130000;ROBOT
4;L504-HF204-131000;ESTACIÓN ROBOT
5;L504-HF204-131100;ZONA PUERTA IZQUIERDA ROBOT
5;L504-HF204-131200;ZONA PUERTA DERECHA ROBOT
5;L504-HF204-131300;CARRO IZQUIERDO ROBOT
5;L504-HF204-131400;CARRO DERECHO ROBOT
5;L504-HF204-131500;CONJUNTO ROBOT
4;L504-HF204-132000;GRIPPER ROBOT
5;L504-HF204-132100;ESTRUCTURA GRIPER ROBOT
5;L504-HF204-132200;FINGER GRIPPER ROBOT
5;L504-HF204-132300;CENTRADO Y MEDICION GRIPPER ROBOT
5;L504-HF204-132400;PUSHER GRIPPER ROBOT
5;L504-HF204-132500;TOMA BANDEJA GRIPPER ROBOT
5;L504-HF204-132600;SISTEMA ELECTRICO GRIPPER ROBOT
3;L504-HF204-140000;COLOCADOR DE PESTAÑAS
4;L504-HF204-141000;COLOCADOR DE PESTAÑAS
5;L504-HF204-141100;ENTRADA COLOCADOR DE PESTAÑAS
5;L504-HF204-141200;BRAZO COLOCADOR DE PESTAÑAS
5;L504-HF204-141300;TOMA DE PESTAÑAS
3;L504-HF204-150000;TORRETA DE BREAKER
4;L504-HF204-151000;TORRETA DE BREAKER
5;L504-HF204-151100;PIVOTEO TORRETA DE BREAKER
5;L504-HF204-151200;CONJUNTO DE LEVAS
5;L504-HF204-151300;ROTACION DE TAMBORES TORRETA DE BREAKER
5;L504-HF204-151400;CONTROL NEUMATICO TORRETA DE BREAKER
3;L504-HF204-160000;SUMINISTRO DE AIRE
4;L504-HF204-161000;SUMINISTRO DE AIRE
5;L504-HF204-161100;AMPLIFICADOR DE AIRE
5;L504-HF204-161200;MANIFOLD DE VALVULAS
3;L504-HF204-170000;BP1
4;L504-HF204-171000;LETOFF BP1
5;L504-HF204-171100;MOTRIZ DERECHO LINER LETOFF BP1
5;L504-HF204-171200;MOTRIZ DERECHO MATERIAL LETOFF BP1
5;L504-HF204-171300;CARRO LETOFF BP1
5;L504-HF204-171400;CONTROL LETOFF BP1
4;L504-HF204-172000;FEED CONVEYOR BP1
5;L504-HF204-172100;MOTRIZ FEED CONVEYOR BP1
5;L504-HF204-172200;FEED CONVEYOR BP1
4;L504-HF204-173000;SISTEMA DE CORTE BP1
5;L504-HF204-173100;CORTE BP1
5;L504-HF204-173200;INSTRUMENTACION CORTE BP1
5;L504-HF204-173300;MOVIMIENTO Y ESTRUCTURA CORTE BP1
4;L504-HF204-174000;APLICADOR CONVEYOR BP1
5;L504-HF204-174100;MOTRIZ APLICADOR CONVEYOR BP1
5;L504-HF204-174200;APLICADOR CONVEYOR BP1
5;L504-HF204-174300;SISTEMA ALTURA DE MESA APLI. CONV. BP1
4;L504-HF204-175000;APLICADOR BP1
5;L504-HF204-175100;APLICADOR BP1
3;L504-HF204-180000;BP2
4;L504-HF204-181000;LETOFF BP2
5;L504-HF204-181100;MOTRIZ DERECHO LINER LETOFF BP2
5;L504-HF204-181200;MOTRIZ DERECHO MATERIAL LETOFF BP2
5;L504-HF204-181300;CARRO LETOFF BP2
5;L504-HF204-181400;CONTROL LETOFF BP2
4;L504-HF204-182000;FEED CONVEYOR BP2
5;L504-HF204-182100;MOTRIZ FEED CONVEYOR BP2
5;L504-HF204-182200;FEED CONVEYOR BP2
4;L504-HF204-183000;SISTEMA DE CORTE BP2
5;L504-HF204-183100;CORTE BP2
5;L504-HF204-183200;INSTRUMENTACION CORTE BP2
5;L504-HF204-183300;MOVIMIENTO Y ESTRUCTURA CORTE BP2
4;L504-HF204-184000;APLICADOR CONVEYOR BP2
5;L504-HF204-184100;MOTRIZ APLICADOR CONVEYOR BP2
5;L504-HF204-184200;APLICADOR CONVEYOR BP2
5;L504-HF204-184300;SISTEMA ALTURA DE MESA APLI. CONV. BP2
3;L504-HF204-190000;SISTEMAS ELECTRICOS LADO BREAKER
4;L504-HF204-191000;GENERAL SISTEMAS ELECTRICOS LADO BREAKER
5;L504-HF204-191100;TABLERO 01X1
5;L504-HF204-191200;TABLERO 01X1.1
5;L504-HF204-191300;TABLERO 01X2
5;L504-HF204-191400;TABLERO 01X3
5;L504-HF204-191500;TABLERO 01X4
5;L504-HF204-191600;SCANNER LADO BREAKER
5;L504-HF204-191700;CORTINAS LADO BREAKER
5;L504-HF204-191800;PUERTAS LADO BREAKER
4;L504-HF204-192000;TABLEROS PLATO DESCARGADOR
5;L504-HF204-192100;TABLERO 85X1
4;L504-HF204-193000;TABLEROS TORRETA DE BRERAKER
5;L504-HF204-193100;TABLERO 19X1
4;L504-HF204-194000;TABLEROS BREAKER A
5;L504-HF204-194100;TABLERO 20X1
5;L504-HF204-194200;TABLERO 20X10
5;L504-HF204-194300;TABLERO 21X1
5;L504-HF204-194400;TABLERO 21X10
4;L504-HF204-195000;TABLEROS BREAKER B
5;L504-HF204-195100;TABLERO 25X1
5;L504-HF204-195200;TABLERO 25X10
5;L504-HF204-195300;TABLERO 26X1
5;L504-HF204-195400;TABLERO 26X10
4;L504-HF204-196000;TABLEROS BANDA
5;L504-HF204-196100;TABLERO 60X1
5;L504-HF204-196200;TABLERO 60X2
5;L504-HF204-196300;TABLERO 60X3
5;L504-HF204-196400;TABLERO 60X10
5;L504-HF204-196500;TABLERO 61X1
5;L504-HF204-196600;TABLERO 61X10
5;L504-HF204-196700;TABLERO 61X11
4;L504-HF204-197000;TABLEROS OVERLAY
5;L504-HF204-197100;TABLERO 70X1
5;L504-HF204-197200;TABLERO 74X1
5;L504-HF204-197300;TABLERO 70X10
5;L504-HF204-197400;TABLERO 74X2
4;L504-HF204-198000;TABLEROS ELEVADOR
5;L504-HF204-198100;TABLERO 86X1
4;L504-HF204-199000;TABLEROS ETIQUETADOR
5;L504-HF204-199100;TABLERO 85X2
5;L504-HF204-199200;TABLERO 87X1
3;L504-HF204-200000;SISTEMAS ELECTRICOS LADO CARCASA
4;L504-HF204-201000;GENERAL SISTEMAS ELECTRICOS LADO CARCASA
5;L504-HF204-201100;TABLERO 02X1
5;L504-HF204-201200;TABLERO 02X1.1
5;L504-HF204-201300;TABLERO 02X2
5;L504-HF204-201400;TABLERO 02X3
5;L504-HF204-201500;TABLERO 02X4
5;L504-HF204-201600;TABLERO 92X1
5;L504-HF204-201700;SCANNER - ALFOMBRA LADO CARCASA
5;L504-HF204-201800;CORTINAS LADO CARCASA
5;L504-HF204-201900;PUERTAS LADO CARCASA
4;L504-HF204-202000;TABLEROS TRANSFER RING
5;L504-HF204-202100;TABLERO 18X1
4;L504-HF204-203000;TABLEROS BEAD AND PUSH
5;L504-HF204-203100;TABLERO 33X1
5;L504-HF204-203200;TABLERO 34X1
4;L504-HF204-204000;TABLEROS COLOCADOR DE PESTAÑAS
5;L504-HF204-204100;TABLERO 94X1
4;L504-HF204-205000;TABLEROS COJIN
5;L504-HF204-205100;TABLERO 49X1
5;L504-HF204-205200;TABLERO 49X2
5;L504-HF204-205300;TABLERO 49X7
5;L504-HF204-205400;TABLERO 49X16
5;L504-HF204-205500;TABLERO 49X18
5;L504-HF204-205600;TABLERO 49X20
5;L504-HF204-205700;TABLERO 49X23
4;L504-HF204-206000;TABLEROS BP1
5;L504-HF204-206100;TABLERO 49X8
5;L504-HF204-206200;TABLERO 49X17
5;L504-HF204-206300;TABLERO 49X21
4;L504-HF204-207000;TABLEROS BP2
5;L504-HF204-207100;TABLERO 49X3
5;L504-HF204-207200;TABLERO 49X4
5;L504-HF204-207300;TABLERO 49X9
5;L504-HF204-207400;TABLERO 49X19
5;L504-HF204-207500;TABLERO 49X22
4;L504-HF204-208000;TABLEROS LATERAL
5;L504-HF204-208100;TABLERO 40X1
5;L504-HF204-208200;TABLERO 40X2
5;L504-HF204-208300;TABLERO 40X3
5;L504-HF204-208400;TABLERO 40X4
5;L504-HF204-208500;TABLERO 40X5
4;L504-HF204-209000;TABLEROS ROBOT
5;L504-HF204-209100;TABLERO 95X1
5;L504-HF204-209200;TABLERO 96X1
5;L504-HF204-209300;TABLERO 96X2
5;L504-HF204-209400;TABLERO 96X3
5;L504-HF204-209500;TABLERO 97X1
5;L504-HF204-209600;TABLERO 97X2
5;L504-HF204-209700;TABLERO 97X3
3;L504-HF204-210000;SMS
4;L504-HF204-211000;SMS LADO BREAKER
4;L504-HF204-212000;SMS LADO CARCASA
5;L504-HF204-212100;SMS PLY LADO CARCASA
3;L504-HF204-220000;OVERLAY
4;L504-HF204-221000;LETOFF OVERLAY
5;L504-HF204-221100;LETOFF SUPERIOR OVERLAY
5;L504-HF204-221200;LETOFF INFERIOR OVERLAY
5;L504-HF204-221300;ACUMULADOR LETOFF OVERLAY
4;L504-HF204-222000;SERVIDOR OVERLAY
5;L504-HF204-222100;SERVIDOR OVERLAY
5;L504-HF204-222200;MESA SERVIDOR OVERLAY
5;L504-HF204-222300;CONTROL SERVIDOR OVERLAY
2;L504-HF205;HF TIRE BUILDING MACHINE - HF205
3;L504-HF205-020000;BANDA
4;L504-HF205-021000;LETOFF BANDA
5;L504-HF205-021100;LETOFF IZQUIERDO BANDA
5;L504-HF205-021200;LETOFF DERECHO BANDA
5;L504-HF205-021300;CARRO LETOFF BANDA
4;L504-HF205-022000;FEED CONVEYOR BANDA
5;L504-HF205-022100;FEED CONVEYOR BANDA
4;L504-HF205-023000;SISTEMA DE CORTE BANDA
5;L504-HF205-023100;MOVIMIENTO SISTEMA CORTE BANDA
5;L504-HF205-023200;INSTRUMENTACION SISTEMA DE CORTE BANDA
5;L504-HF205-023300;CORTE DE BANDA
4;L504-HF205-024000;APLICADOR CONVEYOR BANDA
5;L504-HF205-024100;MOTRIZ APLICADOR CONVEYOR BANDA
5;L504-HF205-024200;INSTRUMENTACION APLICADOR CONVEYOR BANDA
5;L504-HF205-024300;APLICADOR CONVEYOR BANDA
5;L504-HF205-024400;SISTEMA ALTURA DE MESA BANDA
4;L504-HF205-025000;APLICADOR BANDA
5;L504-HF205-025100;INSTRUMENTACION APLICADOR DE BANDA
5;L504-HF205-025200;APLICADOR DE BANDA
3;L504-HF205-030000;BREAKER A
4;L504-HF205-031000;LETOFF BREAKER A
5;L504-HF205-031100;MOTRIZ LETOFF BREAKER A
5;L504-HF205-031200;ESTRUCTURA LETOFF BREAKER A
5;L504-HF205-031300;INSTRUMENTACION LETOFF BREAKER A
5;L504-HF205-031400;CARRO LETOFF BREAKER A
4;L504-HF205-032000;FEED CONVEYOR BREAKER A
5;L504-HF205-032100;MOTRIZ FEED CONVEYOR BREAKER A
5;L504-HF205-032200;ESTRUCTURA FEED CONVEYOR BREAKER A
5;L504-HF205-032300;CENTRADO ENTRADA MATERIAL F.CONV. BR.A
4;L504-HF205-033000;SISTEMA DE CORTE BREAKER A
5;L504-HF205-033100;MOVIMIENTO SISTEMA DE CORTE BREAKER A
5;L504-HF205-033200;CORTE BREAKER A
4;L504-HF205-034000;APLICADOR CONVEYOR BREAKER A
5;L504-HF205-034100;MOTRIZ DE APLICADOR CONVEYOR BREAKER A
5;L504-HF205-034200;MESA ESTRUCTURA DE APLICADOR CONV. BR. A
5;L504-HF205-034300;INSTRUMENTACION DE APLICADOR CONV. BR. A
5;L504-HF205-034400;LIFT MESA DE APLICADOR CONV. BREAKER A
3;L504-HF205-040000;BREAKER B
4;L504-HF205-041000;LETOFF BREAKER B
5;L504-HF205-041100;MOTRIZ LETOFF BREAKER B
5;L504-HF205-041200;ESTRUCTURA LETOFF BREAKER B
5;L504-HF205-041300;INSTRUMENTACION LETOFF BREAKER B
5;L504-HF205-041400;CARRO LETOFF BREAKER B
4;L504-HF205-042000;FEED CONVEYOR BREAKER B
5;L504-HF205-042100;MOTRIZ FEED CONVEYOR BREAKER B
5;L504-HF205-042200;ESTRUCTURA FEED CONVEYOR BREAKER B
5;L504-HF205-042300;CENTRADO ENTRADA MATERIAL F.CONV. BR.B
4;L504-HF205-043000;SISTEMA DE CORTE BREAKER B
5;L504-HF205-043100;MOVIMIENTO SISTEMA DE CORTE BREAKER B
5;L504-HF205-043200;CORTE BREAKER B
4;L504-HF205-044000;APLICADOR CONVEYOR BREAKER B
5;L504-HF205-044100;MOTRIZ DE APLICADOR CONVEYOR BREAKER B
5;L504-HF205-044200;MESA ESTRUCTURA DE APLICADOR CONV. BR. B
5;L504-HF205-044300;INSTRUMENTACION APLICADOR CONV. BR. B
5;L504-HF205-044400;LIFT MESA DE APLICADOR CONV. BREAKER B
3;L504-HF205-050000;PLATO DESCARGADOR
4;L504-HF205-051000;PLATO DESCARGADOR
5;L504-HF205-051100;MOVIMIENTO HORIZONTAL PLATO DESCARGADOR
5;L504-HF205-051200;MOVIMIENTO VERTICAL PLATO DESCARGADOR
5;L504-HF205-051300;CONTROL PLATO DESCARGADOR
3;L504-HF205-060000;ELEVADOR
4;L504-HF205-061000;ELEVADOR DE NEUMÁTICOS
5;L504-HF205-061100;CARGADOR - DESCARGADOR ELEVADOR DE NEUMÁ
5;L504-HF205-061200;ELEVADOR
5;L504-HF205-061300;PILAR ELEVACION ELEVADOR DE NEUMÁTICOS
5;L504-HF205-061400;EQUIPO DE VALVULAS ELEVADOR DE NEUMÁTICO
4;L504-HF205-062000;GRIPPER ELEVADOR
5;L504-HF205-062100;SERVOMOTOR GRIPPER ELEVADOR
5;L504-HF205-062200;PALETA GRIPPER ELEVADOR
5;L504-HF205-062300;SISTEMA MOTRIZ PALETA GRIPPER ELEVADOR
5;L504-HF205-062400;ESTRUCTURA GRIPPER ELEVADOR
4;L504-HF205-063000;CONVEYOR DESCARGADOR NEUMATICOS
5;L504-HF205-063100;CONVEYOR SUPERIOR DESCARGADOR NEUMATICOS
5;L504-HF205-063200;CONVEYOR INFERIOR DESCARGADOR NEUMATICOS
3;L504-HF205-070000;LATERAL
4;L504-HF205-071000;LETOFF LATERAL
5;L504-HF205-071100;MOTRIZ DERECHO LINER LETOFF LATERAL
5;L504-HF205-071200;MOTRIZ DERECHO MATERIAL LETOFF LATERAL
5;L504-HF205-071300;MOTRIZ IZQUIERDO LINER LETOFF LATERAL
5;L504-HF205-071400;MOTRIZ IZQUIERDO MATERIAL LETOFF LATERAL
5;L504-HF205-071500;CARRO LETOFF LATERAL
5;L504-HF205-071600;CONTROL LETOFF LATERAL
4;L504-HF205-072000;SERVIDOR LATERAL
5;L504-HF205-072100;MOVIMIENTO HORIZONTAL SERVIDOR LATERAL
5;L504-HF205-072200;SERVIDOR LATERAL
5;L504-HF205-072300;CONTROL NEUMATICO SERVIDOR LATERAL
5;L504-HF205-072400;CENTRADO Y ALTURA SERVIDOR LATERAL
4;L504-HF205-073000;SISTEMA DE CORTE LATERAL
5;L504-HF205-073100;CORTE LADO DERECHO LATERAL
5;L504-HF205-073200;CORTE LADO IZQUIERDO LATERAL
4;L504-HF205-074000;APLICADOR LATERAL
5;L504-HF205-074100;MULTIROLL DERECHO LATERAL
5;L504-HF205-074200;MULTIROLL IZQUIERDO LATERAL
4;L504-HF205-075000;STITCHER DINAMICO LATERAL
5;L504-HF205-075100;STITCHER DINAMICO LATERAL
4;L504-HF205-076000;LIVE CENTER LATERAL
5;L504-HF205-076100;LIVE CENTER LATERAL
3;L504-HF205-080000;ETIQUETADOR
4;L504-HF205-081000;ETIQUETADOR
5;L504-HF205-081100;MOVIMIENTO TRASLACION ETIQUETADOR
5;L504-HF205-081200;TOMA Y COLOCACION ETIQUETAS
5;L504-HF205-081300;MOTRIZ ETIQUETADOR
5;L504-HF205-081400;AJUSTE POSICION ETIQUETADOR
3;L504-HF205-090000;TRANSFER RING
4;L504-HF205-091000;TRANSFER RING
5;L504-HF205-091100;MOVIMIENTO TRANSFER RING
5;L504-HF205-091200;CONJUNTO TOMA PAQUETE BREAKER/NEUMATICO
5;L504-HF205-091300;SISTEMA VALVULAS TRANSFER RING
3;L504-HF205-100000;TORRETA DE CARCASA
4;L504-HF205-101000;SISTEMAS COMUNES AMBOS TAMBORES CARCASA
5;L504-HF205-101100;TRANSMISION ENGRANAJE TAMBORES CARCASA
5;L504-HF205-101200;SISTEMA MOTRIZ ENGRANAJES TAMBORES CARCA
5;L504-HF205-101300;UNION CARDANICA TORRETA DE CARCASA
5;L504-HF205-101400;SISTEMA FRENO PIVOTE TORRETA DE CARCASA
5;L504-HF205-101500;CAJAS DE CONEXIONES ELECTRICAS TORRETA C
4;L504-HF205-102000;MECANICA TAMBOR 1 TORRETA DE CARCASA
5;L504-HF205-102100;TRANSMISION UNION GIRATORIA TAMBOR 1 CAR
5;L504-HF205-102200;RODAMIENTO EJE TAMBOR 1 CARCASA
5;L504-HF205-102300;UNION GIRATORIA TAMBOR 1 CARCASA
4;L504-HF205-103000;MECANICA TAMBOR 2 TORRETA DE CARCASA
5;L504-HF205-103100;TRANSMISION UNION GIRATORIA TAMBOR 2 CAR
5;L504-HF205-103200;RODAMIENTO EJE TAMBOR 2 CARCASA
5;L504-HF205-103300;UNION GIRATORIA TAMBOR 2 CARCASA
4;L504-HF205-104000;ELECTRICA TAMBOR 1 TORRETA CARCASA
5;L504-HF205-104100;CONTROL ELECTRICA TAMBOR 1 TORRETA CARCA
4;L504-HF205-105000;ELECTRICA TAMBOR 2 TORRETA CARCASA
5;L504-HF205-105100;CONTROL ELECTRICA TAMBOR 2 TORRETA CARCA
3;L504-HF205-110000;COJIN
4;L504-HF205-111000;LETOFF COJIN
5;L504-HF205-111100;MOTRIZ DERECHO LINER LETOFF COJIN
5;L504-HF205-111200;MOTRIZ DERECHO MATERIAL LETOFF COJIN
5;L504-HF205-111300;CARRO LETOFF COJIN
5;L504-HF205-111400;CONTROL LETOFF COJIN
4;L504-HF205-112000;FEED CONVEYOR COJIN
5;L504-HF205-112100;MOTRIZ FEED CONVEYOR COJIN
5;L504-HF205-112200;FEED CONVEYOR COJIN
4;L504-HF205-113000;SISTEMA DE CORTE COJIN
5;L504-HF205-113100;MOVIMIENTO CORTE COJIN
5;L504-HF205-113200;INSTRUMENTACION CORTE COJIN
5;L504-HF205-113300;CORTE COJIN
4;L504-HF205-114000;APLICADOR CONVEYOR COJIN
5;L504-HF205-114100;MOTRIZ APLICADOR CONVEYOR COJIN
5;L504-HF205-114200;APLICADOR CONVEYOR COJIN
5;L504-HF205-114300;SISTEMA ALTURA DE MESA APLI. CONV. COJIN
3;L504-HF205-120000;BEAD AND PUSH
4;L504-HF205-121000;MOVIMIENTO TRANSVERSAL BEAD AND PUSH
5;L504-HF205-121100;MOVIMIENTO TRANSVERSAL BEAD AND PUSH
4;L504-HF205-122000;CONJUNTO ANILLOS BEAD AND PUSH
5;L504-HF205-122100;SEGMENTOS BEAD AND PUSH
5;L504-HF205-122200;BAP
5;L504-HF205-122300;SISTEMA VALVULAS BEAD AND PUSH
4;L504-HF205-123000;SISTEMA STITCHADO BEAD AND PUSH
5;L504-HF205-123100;MOVIMIENTO AXIAL STITCHER APEX BAP
5;L504-HF205-123200;MOVIMIENTO RADIAL STITCHER APEX BAP
5;L504-HF205-123300;CROSS STITCHER BEAD AND PUSH
4;L504-HF205-124000;LIVE CENTER BEAD AND PUSH
5;L504-HF205-124100;LIVE CENTER BEAD AND PUSH
3;L504-HF205-130000;ROBOT
4;L504-HF205-131000;ESTACIÓN ROBOT
5;L504-HF205-131100;ZONA PUERTA IZQUIERDA ROBOT
5;L504-HF205-131200;ZONA PUERTA DERECHA ROBOT
5;L504-HF205-131300;CARRO IZQUIERDO ROBOT
5;L504-HF205-131400;CARRO DERECHO ROBOT
5;L504-HF205-131500;CONJUNTO ROBOT
4;L504-HF205-132000;GRIPPER ROBOT
5;L504-HF205-132100;ESTRUCTURA GRIPER ROBOT
5;L504-HF205-132200;FINGER GRIPPER ROBOT
5;L504-HF205-132300;CENTRADO Y MEDICION GRIPPER ROBOT
5;L504-HF205-132400;PUSHER GRIPPER ROBOT
5;L504-HF205-132500;TOMA BANDEJA GRIPPER ROBOT
5;L504-HF205-132600;SISTEMA ELECTRICO GRIPPER ROBOT
3;L504-HF205-140000;COLOCADOR DE PESTAÑAS
4;L504-HF205-141000;COLOCADOR DE PESTAÑAS
5;L504-HF205-141100;ENTRADA COLOCADOR DE PESTAÑAS
5;L504-HF205-141200;BRAZO COLOCADOR DE PESTAÑAS
5;L504-HF205-141300;TOMA DE PESTAÑAS
3;L504-HF205-150000;TORRETA DE BREAKER
4;L504-HF205-151000;TORRETA DE BREAKER
5;L504-HF205-151100;PIVOTEO TORRETA DE BREAKER
5;L504-HF205-151200;CONJUNTO DE LEVAS
5;L504-HF205-151300;ROTACION DE TAMBORES TORRETA DE BREAKER
5;L504-HF205-151400;CONTROL NEUMATICO TORRETA DE BREAKER
3;L504-HF205-160000;SUMINISTRO DE AIRE
4;L504-HF205-161000;SUMINISTRO DE AIRE
5;L504-HF205-161100;AMPLIFICADOR DE AIRE
5;L504-HF205-161200;MANIFOLD DE VALVULAS
3;L504-HF205-170000;BP1
4;L504-HF205-171000;LETOFF BP1
5;L504-HF205-171100;MOTRIZ DERECHO LINER LETOFF BP1
5;L504-HF205-171200;MOTRIZ DERECHO MATERIAL LETOFF BP1
5;L504-HF205-171300;CARRO LETOFF BP1
5;L504-HF205-171400;CONTROL LETOFF BP1
4;L504-HF205-172000;FEED CONVEYOR BP1
5;L504-HF205-172100;MOTRIZ FEED CONVEYOR BP1
5;L504-HF205-172200;FEED CONVEYOR BP1
4;L504-HF205-173000;SISTEMA DE CORTE BP1
5;L504-HF205-173100;CORTE BP1
5;L504-HF205-173200;INSTRUMENTACION CORTE BP1
5;L504-HF205-173300;MOVIMIENTO Y ESTRUCTURA CORTE BP1
4;L504-HF205-174000;APLICADOR CONVEYOR BP1
5;L504-HF205-174100;MOTRIZ APLICADOR CONVEYOR BP1
5;L504-HF205-174200;APLICADOR CONVEYOR BP1
5;L504-HF205-174300;SISTEMA ALTURA DE MESA APLI. CONV. BP1
4;L504-HF205-175000;APLICADOR BP1
5;L504-HF205-175100;APLICADOR BP1
3;L504-HF205-180000;BP2
4;L504-HF205-181000;LETOFF BP2
5;L504-HF205-181100;MOTRIZ DERECHO LINER LETOFF BP2
5;L504-HF205-181200;MOTRIZ DERECHO MATERIAL LETOFF BP2
5;L504-HF205-181300;CARRO LETOFF BP2
5;L504-HF205-181400;CONTROL LETOFF BP2
4;L504-HF205-182000;FEED CONVEYOR BP2
5;L504-HF205-182100;MOTRIZ FEED CONVEYOR BP2
5;L504-HF205-182200;FEED CONVEYOR BP2
4;L504-HF205-183000;SISTEMA DE CORTE BP2
5;L504-HF205-183100;CORTE BP2
5;L504-HF205-183200;INSTRUMENTACION CORTE BP2
5;L504-HF205-183300;MOVIMIENTO Y ESTRUCTURA CORTE BP2
4;L504-HF205-184000;APLICADOR CONVEYOR BP2
5;L504-HF205-184100;MOTRIZ APLICADOR CONVEYOR BP2
5;L504-HF205-184200;APLICADOR CONVEYOR BP2
5;L504-HF205-184300;SISTEMA ALTURA DE MESA APLI. CONV. BP2
3;L504-HF205-190000;SISTEMAS ELECTRICOS LADO BREAKER
4;L504-HF205-191000;GENERAL SISTEMAS ELECTRICOS LADO BREAKER
5;L504-HF205-191100;TABLERO 01X1
5;L504-HF205-191200;TABLERO 01X1.1
5;L504-HF205-191300;TABLERO 01X2
5;L504-HF205-191400;TABLERO 01X3
5;L504-HF205-191500;TABLERO 01X4
5;L504-HF205-191600;SCANNER LADO BREAKER
5;L504-HF205-191700;CORTINAS LADO BREAKER
5;L504-HF205-191800;PUERTAS LADO BREAKER
4;L504-HF205-192000;TABLEROS PLATO DESCARGADOR
5;L504-HF205-192100;TABLERO 85X1
4;L504-HF205-193000;TABLEROS TORRETA DE BRERAKER
5;L504-HF205-193100;TABLERO 19X1
4;L504-HF205-194000;TABLEROS BREAKER A
5;L504-HF205-194100;TABLERO 20X1
5;L504-HF205-194200;TABLERO 20X10
5;L504-HF205-194300;TABLERO 21X1
5;L504-HF205-194400;TABLERO 21X10
4;L504-HF205-195000;TABLEROS BREAKER B
5;L504-HF205-195100;TABLERO 25X1
5;L504-HF205-195200;TABLERO 25X10
5;L504-HF205-195300;TABLERO 26X1
5;L504-HF205-195400;TABLERO 26X10
4;L504-HF205-196000;TABLEROS BANDA
5;L504-HF205-196100;TABLERO 60X1
5;L504-HF205-196200;TABLERO 60X2
5;L504-HF205-196300;TABLERO 60X3
5;L504-HF205-196400;TABLERO 60X10
5;L504-HF205-196500;TABLERO 61X1
5;L504-HF205-196600;TABLERO 61X10
5;L504-HF205-196700;TABLERO 61X11
4;L504-HF205-197000;TABLEROS OVERLAY
5;L504-HF205-197100;TABLERO 70X1
5;L504-HF205-197200;TABLERO 74X1
5;L504-HF205-197300;TABLERO 70X10
5;L504-HF205-197400;TABLERO 74X2
4;L504-HF205-198000;TABLEROS ELEVADOR
5;L504-HF205-198100;TABLERO 86X1
4;L504-HF205-199000;TABLEROS ETIQUETADOR
5;L504-HF205-199100;TABLERO 85X2
5;L504-HF205-199200;TABLERO 87X1
3;L504-HF205-200000;SISTEMAS ELECTRICOS LADO CARCASA
4;L504-HF205-201000;GENERAL SISTEMAS ELECTRICOS LADO CARCASA
5;L504-HF205-201100;TABLERO 02X1
5;L504-HF205-201200;TABLERO 02X1.1
5;L504-HF205-201300;TABLERO 02X2
5;L504-HF205-201400;TABLERO 02X3
5;L504-HF205-201500;TABLERO 02X4
5;L504-HF205-201600;TABLERO 92X1
5;L504-HF205-201700;SCANNER - ALFOMBRA LADO CARCASA
5;L504-HF205-201800;CORTINAS LADO CARCASA
5;L504-HF205-201900;PUERTAS LADO CARCASA
4;L504-HF205-202000;TABLEROS TRANSFER RING
5;L504-HF205-202100;TABLERO 18X1
